%% weka file for methodology2 emotion

@relation Emotion
@attribute LEB1_CPLE1 numeric
@attribute LEB2_CPLE2 numeric
@attribute REB1_CPRE1 numeric
@attribute REB2_CPRE2 numeric
@attribute OPEN_LE1 numeric
@attribute OPEN_LE2 numeric
@attribute OPEN_RE1 numeric
@attribute OPEN_RE2 numeric
@attribute EXP_MO numeric
@attribute OPEN_MO1 numeric
@attribute OPEN_MO2 numeric
@attribute OPEN_MO3 numeric
@attribute NS_LPLIP numeric
@attribute NS_RPLIP numeric
@attribute betweenEyesWrinkles numeric
@attribute noseWrinkles numeric
@attribute label {anger, smile, sad, surprise, neutral, fear, disgust}

@data
17,16,15,16,12,12,12,12,57,14,12,14,46,49,41,180,disgust
25,23,22,25,6,6,6,6,133,23,22,24,28,40,106,179,disgust
17,14,14,15,9,8,9,9,114,25,24,25,13,18,160,235,disgust
30,29,30,31,4,4,5,5,103,25,24,26,24,28,36,167,disgust
36,37,40,38,3,3,4,4,102,22,21,23,23,31,26,146,disgust
25,23,28,26,5,5,5,5,95,26,24,26,23,39,0,73,disgust
17,15,14,18,7,7,7,7,103,21,19,20,22,14,163,460,disgust
24,24,27,25,4,3,4,4,97,24,22,25,29,43,4,92,disgust
20,19,16,20,10,10,10,10,82,3,1,2,30,18,54,135,disgust
19,17,15,19,11,11,11,11,82,3,1,2,30,23,62,160,disgust
25,22,21,24,3,3,3,3,113,44,41,43,31,30,218,874,disgust
28,24,24,28,3,3,3,3,116,40,38,39,34,33,211,767,disgust
26,23,22,27,8,8,7,7,95,25,24,25,35,26,213,534,disgust
30,27,30,33,6,6,6,6,115,23,21,22,26,23,232,450,disgust
21,19,17,22,5,6,5,5,78,11,8,10,31,16,167,646,disgust
28,27,29,31,14,15,15,15,97,22,21,21,32,28,74,208,fear
35,36,38,36,15,14,14,14,90,19,17,19,29,29,160,523,fear
29,29,29,30,14,13,14,14,84,18,17,19,32,23,234,634,fear
37,38,41,38,13,13,14,14,94,19,18,20,31,31,202,466,fear
31,31,35,36,12,13,13,13,97,24,22,23,40,38,199,456,fear
24,18,18,22,15,16,15,15,99,24,22,24,30,32,269,197,fear
34,32,30,33,15,14,16,16,94,24,23,25,32,27,282,428,fear
34,34,35,34,13,13,13,13,92,19,19,20,22,22,325,464,fear
35,36,35,34,13,13,13,13,100,28,27,29,28,29,504,883,fear
29,25,26,30,17,15,17,17,105,23,22,23,27,31,172,263,fear
24,21,22,24,14,14,15,15,87,17,15,17,14,15,257,475,fear
37,39,37,37,16,16,16,16,99,24,23,24,34,30,709,643,fear
32,30,32,34,15,15,15,15,94,24,22,24,27,27,337,242,fear
